balancing_authority,date,daily_peak_mw,daily_min_mw,daily_max_ramp_mw,daily_ramp_std,hours_observed,daily_range_mw,pct_hours_near_peak,z_daily_peak_mw,z_daily_max_ramp_mw,z_pct_hours_near_peak,fragility_z,fragility_01
PJM,2025-02-19,128809.0,113969.0,5148.0,2439.349810912736,24,14840.0,0.4166666666666667,1.1112367979753108,-0.4346804945649083,1.1689944036721165,1.845550707082519,0.6211409070781532
PJM,2025-02-20,127359.0,113320.0,6211.0,2353.564945929928,24,14039.0,0.5833333333333334,1.0291984433284915,0.3434041704412982,2.442418234510905,3.8150208482806947,0.8155168582692549
PJM,2025-02-21,128475.0,108274.0,5826.0,2579.9604785058573,24,20201.0,0.2916666666666667,1.0923396873187332,0.06159551942776151,0.21392653054302538,1.36786173728952,0.5739956135625462
PJM,2025-02-22,116823.0,96245.0,4434.0,2227.8268896757486,24,20578.0,0.3333333333333333,0.43309078501201703,-0.957307447353649,0.5322824882527222,0.008065825911090174,0.4397911805168374
PJM,2025-02-23,105309.0,89454.0,3720.0,1802.2468218543368,24,15855.0,0.2916666666666667,-0.21835032905934668,-1.4799344001423897,0.21392653054302538,-1.484358198658711,0.29249707674346254
PJM,2025-02-24,110667.0,91316.0,7801.0,3126.530558226121,24,19351.0,0.125,0.08479553590455524,1.507237300601099,-1.059497300295763,0.5325355362098911,0.49155347773462144
PJM,2025-02-25,101237.0,86741.0,7086.0,2595.7795790837877,24,14496.0,0.2916666666666667,-0.4487366601778627,0.9838783772902452,0.21392653054302538,0.7490682476554078,0.5129240742574024
PJM,2025-02-26,102306.0,85081.0,7548.0,2670.2897385945744,24,17225.0,0.125,-0.38825459044169036,1.3220487585064893,-1.059497300295763,-0.12570313223096408,0.4265889146206478
PJM,2025-02-27,95524.0,82130.0,5649.0,2108.1778445556633,24,13394.0,0.625,-0.7719677774863307,-0.06796326298625406,2.7607741922206017,1.920843151748017,0.6285718603295977
PJM,2025-02-28,99167.0,83189.0,7119.0,2516.3197764575357,24,15978.0,0.2916666666666667,-0.5658534837081496,1.0080334045199768,0.21392653054302538,0.6561064513548526,0.5037492524602256
PJM,2025-03-01,93512.0,82453.0,3981.0,1704.1839386460401,24,11059.0,0.20833333333333334,-0.8858030668307448,-1.2888900938708754,-0.4227853848763688,-2.597478545577989,0.18263817525690657
PJM,2025-03-02,102743.0,91726.0,5032.0,1912.6211806829656,24,11017.0,0.3333333333333333,-0.3635299276964076,-0.5195890751300258,0.5322824882527222,-0.35083651457371123,0.4043694788331529
PJM,2025-03-03,115234.0,96077.0,7083.0,3011.159139321408,24,19157.0,0.125,0.3431880639542268,0.9816824657239059,-1.059497300295763,0.2653732293823696,0.4651860165450775
PJM,2025-03-04,106264.0,88878.0,6296.0,2697.666644729655,24,17386.0,0.2916666666666667,-0.16431817134368296,0.40562166482091017,0.21392653054302538,0.4552300240202526,0.4839238457082965
PJM,2025-03-05,95850.0,79449.0,4879.0,2084.489020467432,24,16401.0,0.5833333333333334,-0.7535232922347009,-0.6315805650133274,2.442418234510905,1.0573143772628766,0.5433462844702347
PJM,2025-03-06,102362.0,84389.0,6678.0,2199.6888449261983,24,17973.0,0.5416666666666666,-0.3850862126070546,0.6852344042681077,2.124062276801207,2.42421046846226,0.6782514665029203
PJM,2025-03-07,106926.0,93143.0,6240.0,2456.803017178502,24,13783.0,0.2916666666666667,-0.12686341908423854,0.36463131558257755,0.21392653054302538,0.4516944270413644,0.483574901588036
PJM,2025-03-08,98454.0,83901.0,3425.0,1649.1812324055961,24,14553.0,0.16666666666666666,-0.6061937229241372,-1.695865704165749,-0.741141342586066,-3.043200769675952,0.1386478250283183
PJM,2025-03-09,94126.0,79627.0,3978.0,1764.5850027369204,24,14499.0,0.375,-0.8510640670009882,-1.2910860054372146,0.8506384459624193,-1.2915116264757835,0.31152998062856296
PJM,2025-03-10,100937.0,82335.0,7524.0,2946.0128643815274,24,18602.0,0.08333333333333333,-0.4657101128634115,1.3044814659757753,-1.37785325800546,-0.5390819048930964,0.38579068647917986
PJM,2025-03-11,98043.0,80196.0,7150.0,2845.839876284201,24,17847.0,0.08333333333333333,-0.6294473531033391,1.0307244907054824,-1.37785325800546,-0.9765761204033168,0.3426123957797998
PJM,2025-03-12,93329.0,76551.0,6943.0,2696.053761344156,24,16778.0,0.20833333333333334,-0.8961568729689295,0.8792065926280744,-0.4227853848763688,-0.4397356652172239,0.39559561798350257
